epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5572.49,1.00642,0.64793,1.19713,0.9618,0.88973,0.95713,0.82662,0.58086,0.49791,0.91604,0.000996313,0.000996313,0.000996313
43,5703.6,0.96342,0.63769,1.17252,0.9374,0.88996,0.90205,0.58857,1.31529,0.82874,1.27513,0.000990125,0.000990125,0.000990125
44,5834.14,0.93346,0.63135,1.16141,0.93837,0.94153,0.96963,0.74976,0.92728,0.51098,1.06197,0.000983938,0.000983938,0.000983938
45,5965.54,0.97131,0.63918,1.17073,0.95077,0.96417,0.96779,0.7653,0.80553,0.48907,1.02341,0.00097775,0.00097775,0.00097775
46,6096.43,0.91212,0.60587,1.13075,0.92085,0.97932,0.98614,0.84827,0.53293,0.4235,0.89479,0.000971562,0.000971562,0.000971562
47,6228.03,0.88879,0.59038,1.12475,0.95067,0.97043,0.99014,0.85778,0.53893,0.43835,0.89031,0.000965375,0.000965375,0.000965375
48,6362.61,0.88804,0.59205,1.12457,0.9853,0.97794,0.98849,0.86484,0.53892,0.37829,0.8905,0.000959187,0.000959187,0.000959187
49,6494.41,0.88493,0.58884,1.11482,0.94503,0.9651,0.98546,0.87619,0.47981,0.40188,0.87708,0.000953,0.000953,0.000953
50,6625.71,0.87777,0.57534,1.11494,0.95069,0.93869,0.96848,0.79279,0.71113,0.46835,0.96725,0.000946812,0.000946812,0.000946812
51,6756.74,0.85481,0.56635,1.10357,0.98231,0.94567,0.9771,0.8226,0.62112,0.4217,0.92577,0.000940625,0.000940625,0.000940625
52,6887.64,0.86865,0.59065,1.11156,0.95513,0.94796,0.96787,0.77785,0.76618,0.46483,0.99721,0.000934438,0.000934438,0.000934438
53,7019.36,0.88411,0.59017,1.14795,0.91964,0.96915,0.97712,0.86451,0.50964,0.41427,0.91645,0.00092825,0.00092825,0.00092825
54,7150.24,0.88097,0.55251,1.13165,0.94925,0.91768,0.96414,0.83699,0.5966,0.41329,0.92894,0.000922063,0.000922063,0.000922063
55,7281.67,0.85702,0.54671,1.12068,0.97171,0.94235,0.97411,0.86529,0.49506,0.3986,0.87396,0.000915875,0.000915875,0.000915875
56,7412.64,0.8844,0.56195,1.13729,0.98709,0.93247,0.98199,0.84901,0.52667,0.39436,0.89169,0.000909688,0.000909688,0.000909688
57,7543.73,0.85695,0.55585,1.11305,0.93337,0.96124,0.97474,0.84581,0.57533,0.4346,0.91972,0.0009035,0.0009035,0.0009035
58,7675.07,0.82188,0.54817,1.10411,0.92272,0.90066,0.94556,0.81816,0.58686,0.46866,0.9124,0.000897313,0.000897313,0.000897313
59,7806.55,0.85615,0.53942,1.11694,0.93587,0.93307,0.96665,0.85145,0.54807,0.44868,0.907,0.000891125,0.000891125,0.000891125
60,7937.6,0.8561,0.56862,1.13056,0.98432,0.97457,0.98664,0.88124,0.50332,0.35818,0.88286,0.000884938,0.000884938,0.000884938
61,8068.77,0.88838,0.56861,1.14204,0.97093,0.94739,0.9809,0.88274,0.50276,0.39866,0.90618,0.00087875,0.00087875,0.00087875
62,8200.13,0.84843,0.53891,1.09351,0.94908,0.91353,0.96677,0.86445,0.50469,0.42691,0.88344,0.000872563,0.000872563,0.000872563
63,8332.59,0.81589,0.53752,1.09284,0.98121,0.96806,0.98681,0.89313,0.49106,0.33863,0.87858,0.000866375,0.000866375,0.000866375
64,8463.96,0.80368,0.50949,1.07737,0.98814,0.97742,0.98922,0.87714,0.54585,0.36403,0.8929,0.000860188,0.000860188,0.000860188
65,8595.04,0.83682,0.53107,1.11259,0.97135,0.96067,0.98752,0.85424,0.51561,0.38304,0.89252,0.000854,0.000854,0.000854
66,8725.7,0.82093,0.52223,1.10433,0.9655,0.93734,0.97985,0.8875,0.49346,0.39498,0.88757,0.000847813,0.000847813,0.000847813
67,8856.69,0.81895,0.51822,1.10182,0.97204,0.96382,0.98601,0.82905,0.64739,0.42538,0.93464,0.000841625,0.000841625,0.000841625
68,8989.38,0.86675,0.5516,1.11745,0.97727,0.9787,0.99051,0.7278,0.95289,0.44224,1.10071,0.000835438,0.000835438,0.000835438
69,9120.7,0.88756,0.53731,1.1454,0.9658,0.91567,0.9704,0.60676,1.29814,0.57886,1.318,0.00082925,0.00082925,0.00082925
70,9252.16,0.91642,0.53918,1.14332,0.97337,0.98227,0.98727,0.8921,0.50857,0.34009,0.89552,0.000823063,0.000823063,0.000823063
71,9383.26,0.82629,0.52158,1.09884,0.96573,0.96884,0.97308,0.86372,0.50307,0.40271,0.89648,0.000816875,0.000816875,0.000816875
72,9515.37,0.8248,0.50077,1.08949,0.95168,0.95666,0.97701,0.86856,0.53771,0.44059,0.91115,0.000810688,0.000810688,0.000810688
73,9647.86,0.75408,0.48808,1.04819,0.97544,0.99306,0.98577,0.8763,0.50486,0.34688,0.88435,0.0008045,0.0008045,0.0008045
74,9779.77,0.78387,0.48384,1.07944,0.97623,0.98092,0.98674,0.87059,0.52695,0.3359,0.89469,0.000798313,0.000798313,0.000798313
75,9910.77,0.83881,0.52784,1.13085,0.97087,0.96533,0.98185,0.86196,0.50271,0.38194,0.89532,0.000792125,0.000792125,0.000792125
76,10043.2,0.80164,0.50175,1.09556,0.96399,0.94827,0.97676,0.87345,0.48999,0.36259,0.87365,0.000785938,0.000785938,0.000785938
77,10175.2,0.79751,0.49573,1.07954,0.97743,0.94238,0.98496,0.83406,0.62832,0.4227,0.93394,0.00077975,0.00077975,0.00077975
78,10306.5,0.79685,0.50915,1.08542,0.97255,0.94315,0.97403,0.8865,0.47665,0.348,0.87852,0.000773563,0.000773563,0.000773563
79,10438.3,0.78132,0.51359,1.09469,0.97409,0.9484,0.97934,0.87142,0.47656,0.3675,0.86905,0.000767375,0.000767375,0.000767375
80,10568.9,0.7721,0.4987,1.07663,0.95955,0.96416,0.98034,0.88576,0.47664,0.41304,0.87326,0.000761188,0.000761188,0.000761188
81,10701,0.77786,0.49807,1.06861,0.9733,0.98032,0.98754,0.89602,0.44829,0.335,0.86111,0.000755,0.000755,0.000755
82,10831,0.74,0.47125,1.0581,0.9522,0.95767,0.9818,0.86021,0.52003,0.39181,0.91529,0.000748813,0.000748813,0.000748813
83,10962.9,0.7533,0.47098,1.0656,0.9761,0.97903,0.98636,0.89061,0.457,0.32414,0.87094,0.000742625,0.000742625,0.000742625
84,11094.2,0.77384,0.47205,1.08577,0.98766,0.98561,0.98974,0.8976,0.44568,0.30053,0.86004,0.000736438,0.000736438,0.000736438
