cola,metal
fanta,metal
madran,plastic
pınar,plastic
su,plastic
sport,metal
kızılay,glass
sarı kız,glass
kula,glass
uludağ,plastic
doğal,plastic
kaynak,plastic
doğal kaynak suyu,plastic
